city_alias,city_alias_norm,metro_title,primary_state,region,population,alias_match_rank
Fort Drum,FORT DRUM,"Watertown-Fort Drum, NY",NY,Northeast,113140,1
Fort Lauderdale,FORT LAUDERDALE,"Miami-Fort Lauderdale-West Palm Beach, FL",FL,South,6457988,1
Fort Myers,FORT MYERS,"Cape Coral-Fort Myers, FL",FL,South,860959,1
Fort Smith,FORT SMITH,"Fort Smith, AR-OK",AR,South,232848,1
Fort Walton Beach,FORT WALTON BEACH,"Crestview-Fort Walton Beach-Destin, FL",FL,South,310149,1
Fort Wayne,FORT WAYNE,"Fort Wayne, IN",IN,Midwest,462978,1
Fort Worth,FORT WORTH,"Dallas-Fort Worth-Arlington, TX",TX,South,8344032,1
Franklin,FRANKLIN,"Nashville-Davidson--Murfreesboro--Franklin, TN",TN,South,2151715,1
Fremont,FREMONT,"San Francisco-Oakland-Fremont, CA",CA,West,4648486,1
Fresno,FRESNO,"Fresno, CA",CA,West,1189557,1
Gadsden,GADSDEN,"Gadsden, AL",AL,South,103207,1
Gainesville,GAINESVILLE,"Gainesville, FL",FL,South,360881,1
Gainesville,GAINESVILLE,"Gainesville, GA",GA,South,221745,2
Gastonia,GASTONIA,"Charlotte-Concord-Gastonia, NC-SC",NC,South,2883370,1
Gettysburg,GETTYSBURG,"Gettysburg, PA",PA,Northeast,107914,1
Glens Falls,GLENS FALLS,"Glens Falls, NY",NY,Northeast,125127,1
Goldsboro,GOLDSBORO,"Goldsboro, NC",NC,South,120338,1
Goshen,GOSHEN,"Elkhart-Goshen, IN",IN,Midwest,207436,1
Grand Forks,GRAND FORKS,"Grand Forks, ND-MN",ND,Midwest,104184,1
Grand Island,GRAND ISLAND,"Grand Island, NE",NE,Midwest,77278,1
Grand Junction,GRAND JUNCTION,"Grand Junction, CO",CO,West,161260,1
Grand Rapids,GRAND RAPIDS,"Grand Rapids-Wyoming-Kentwood, MI",MI,Midwest,1178826,1
Grand Rapids Wyoming Kentwood,GRAND RAPIDS WYOMING KENTWOOD,"Grand Rapids-Wyoming-Kentwood, MI",MI,Midwest,1178826,1
Grand Rapids-Wyoming-Kentwood,GRAND RAPIDS-WYOMING-KENTWOOD,"Grand Rapids-Wyoming-Kentwood, MI",MI,Midwest,1178826,1
Grants Pass,GRANTS PASS,"Grants Pass, OR",OR,West,88276,1
Great Falls,GREAT FALLS,"Great Falls, MT",MT,West,84523,1
Greeley,GREELEY,"Greeley, CO",CO,West,369745,1
Green Bay,GREEN BAY,"Green Bay, WI",WI,Midwest,334697,1
Greensboro,GREENSBORO,"Greensboro-High Point, NC",NC,South,800722,1
Greensboro High Point,GREENSBORO HIGH POINT,"Greensboro-High Point, NC",NC,South,800722,1
Greensboro-High Point,GREENSBORO-HIGH POINT,"Greensboro-High Point, NC",NC,South,800722,1
Greenville,GREENVILLE,"Greenville-Anderson-Greer, SC",SC,South,996680,1
Greenville,GREENVILLE,"Greenville, NC",NC,South,180783,2
Greenville Anderson Greer,GREENVILLE ANDERSON GREER,"Greenville-Anderson-Greer, SC",SC,South,996680,1
Greenville-Anderson-Greer,GREENVILLE-ANDERSON-GREER,"Greenville-Anderson-Greer, SC",SC,South,996680,1
Greenwood,GREENWOOD,"Indianapolis-Carmel-Greenwood, IN",IN,Midwest,2173288,1
Greer,GREER,"Greenville-Anderson-Greer, SC",SC,South,996680,1
Gulfport,GULFPORT,"Gulfport-Biloxi, MS",MS,South,426793,1
Gulfport Biloxi,GULFPORT BILOXI,"Gulfport-Biloxi, MS",MS,South,426793,1
Gulfport-Biloxi,GULFPORT-BILOXI,"Gulfport-Biloxi, MS",MS,South,426793,1
Hagerstown,HAGERSTOWN,"Hagerstown-Martinsburg, MD-WV",MD,South,312992,1
Hagerstown Martinsburg,HAGERSTOWN MARTINSBURG,"Hagerstown-Martinsburg, MD-WV",MD,South,312992,1
Hagerstown-Martinsburg,HAGERSTOWN-MARTINSBURG,"Hagerstown-Martinsburg, MD-WV",MD,South,312992,1
Hammond,HAMMOND,"Hammond, LA",LA,South,139823,1
Hammonton,HAMMONTON,"Atlantic City-Hammonton, NJ",NJ,Northeast,372989,1
Hanford,HANFORD,"Hanford-Corcoran, CA",CA,West,154913,1
